cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed
UgyaW97d41ncIgdK3V94AaABAg,"Mulai sepatu sampai CELANA DALAM WANITA, jadi masalah di bea cukai, luar biasa",1 hari yang lalu (diedit),@GANSChanel,UCngykkEOJ6BctjmDo9rCbSA,1,,https://yt3.ggpht.com/ytc/AIdro_lq2Lz8H9HENeQ2Dxi7bXbMmZNM0NSZeBIJvZvTY82sD2o=s88-c-k-c0x00ffffff-no-rj,False,False,1716230456.234996
Ugxfv94YyoYuKcCXae94AaABAg,"kita beli barang murah koq bea cukai yg ""marah""",1 hari yang lalu,@yynto,UCAMUY72LcOpJYCh_zSpiY0A,0,,https://yt3.ggpht.com/PyohY9L9qIILX9UubAMtM3wprUrjFwmpH72KeNn3X__yu_AmpJ2Eczl6jOqfl4VLgC473lkm=s88-c-k-c0x00ffffff-no-rj,False,False,1716230456.237452
Ugx7nKiAhGWgFJNWl4N4AaABAg,"Ga becus kerja ganti org jg bisa kan bu,..bnyk manusia"" cerdas dan rajin diluar sana yg masih amanah akan tugas dan tanggungjawabnya",1 hari yang lalu,@lianeztt9980,UCqxoiZ0T8jFkh90mVRFTlvg,0,,https://yt3.ggpht.com/ytc/AIdro_kISE6jJOzbCKQhWuCJkVPM9c1DrwNA4CzLJ04G-GzYmO8=s88-c-k-c0x00ffffff-no-rj,False,False,1716230456.240453
UgwAwZafEewi5VD3tOt4AaABAg,"Audit donk, kalo perlu audit tiap bln biar pada ga bisa gerak cari uang receh",1 hari yang lalu,@lianeztt9980,UCqxoiZ0T8jFkh90mVRFTlvg,0,,https://yt3.ggpht.com/ytc/AIdro_kISE6jJOzbCKQhWuCJkVPM9c1DrwNA4CzLJ04G-GzYmO8=s88-c-k-c0x00ffffff-no-rj,False,False,1716230456.243455
UgzTN2xNSbDtEafZbXd4AaABAg,Udah lama bikin kerja baru mahu vairel udah kaya bertambah kaya. Duit orang atas yang dapat tentunya org org bawah bikin kerja udah tahu semua susah lah org atasan cari makan rakyat kena bijak pilih kerajaan.,1 hari yang lalu,@mzpc4236,UCaaGjJ-K5GvpUGmJNZaLd9A,0,,https://yt3.ggpht.com/yKg1-L2sHZFsLZN3jCrxvI1zVFMlZ2_MU0e1oExMIw4w0i6fmao80Y44mOkWShpRVlAAH0Al3Q=s88-c-k-c0x00ffffff-no-rj,False,False,1716230456.245059
UgyqVc1qK2TrO-1RIV54AaABAg,Terbaik Bea cukai teruskan usaha menamban cukai barang,1 hari yang lalu,@jorahman5085,UCaTolgVvQJec81wb3hWYs5w,0,,https://yt3.ggpht.com/ytc/AIdro_knFXm30e7csgJoOltwKkUaG-bNKzfDCK2HsDiTVZ6WS34=s88-c-k-c0x00ffffff-no-rj,False,False,1716230456.248305
UgwJOz19QaS87BzSzwZ4AaABAg,Bangke memang maling maling di bea cukai,1 hari yang lalu,@sunnygames599,UCvL3zBaBdixqtgVFWAOsyOw,0,,https://yt3.ggpht.com/ytc/AIdro_ndub_jR0bj3lRYuN71PXwAXvjbvjd2MQ1jCUWB-1d3aLk=s88-c-k-c0x00ffffff-no-rj,False,False,1716230456.250305
UgzLaUTA_8wH-4Pp4hl4AaABAg.A3f2Bugfbo7A3g5tsLyhAX,"Gan bisa tegas bro Kerna semua pejabat2 dan menteri2 di Indonesia korupsi mereka mendukung sesama mereka supaya bisa terus korupsi Kerna itulah undang2 di Indonesia lemah,kalo kerajaan Indonesia tegas dalam menangani kasus korupsi makanya mereka ga bisa korupsi lagi.",17 jam yang lalu,@AbdulGhani-zy5nq,UCTevb6gVt9IP1Wbjyam9Hag,0,,https://yt3.ggpht.com/ytc/AIdro_lqybv1ymmQZzV-g7nROuYqYvRtqWJrzgIBL02smStPjjYqrzc547dVBcr4Ak5lP7MDAg=s88-c-k-c0x00ffffff-no-rj,False,True,1716255656.460488
UgzfPGyFtcMqMCAxaUh4AaABAg,Hajar bu.... Saya sering order PCB untuk keperluan riset teknologi saya sendiri secara mandiri... Hanya ingin berkarya untuk perkembangan teknologi Indonesia... Tapi sering terkendala karena pajak bea cukai yg tidak masuk akal... Pajak lebih mahal daripada barangnya itu sendiri...,1 hari yang lalu,@DICKIPRAMUDYA,UCQC4FKs3kBoXleNl4yua9UQ,0,,https://yt3.ggpht.com/O3-snaPiCOCIaBIYQ0Hjv3dCIFrrUb4JRnnEkB61gHZPSpGcSu0NIC3K2Js3NBtI0wwTL2lpTg=s88-c-k-c0x00ffffff-no-rj,False,False,1716230456.732252
Ugwc8z7jz9UP9BbEuUZ4AaABAg,PoSIsi.......,1 hari yang lalu,@harisuryanto6336,UCBbNOHddfSCSr_AcifqFpog,0,,https://yt3.ggpht.com/ytc/AIdro_nCfFVKBV1IPoihbzqbvzv841B2rRfNBXW-Zvmv07qqdg=s88-c-k-c0x00ffffff-no-rj,False,False,1716230456.734956
